Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
10192871,Alias Grace,Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",0,4.03,Virago Press,Paperback,545,2009,1996,,2022/05/03,"to-read, rec-to-me, tr-uncomfy","to-read (#1341), rec-to-me (#111), tr-uncomfy (#4)",to-read,,,,0,,,0,,,,,
23453099,Eileen,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""1594206627""","=""9781594206627""",0,3.58,Penguin Press,Hardcover,272,2015,2015,,2022/05/03,"to-read, tr-uncomfy","to-read (#1342), tr-uncomfy (#3)",to-read,,,,0,,,0,,,,,
43448,"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,"Andrews, V.C.",,"=""0743496310""","=""9780743496315""",0,3.83,Pocket Books,Paperback,389,1979,1979,,2022/05/05,"to-read, tr-uncomfy","to-read (#1343), tr-uncomfy (#2)",to-read,,,,0,,,0,,,,,
35116925,Homesick for Another World,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""1784701505""","=""9781784701505""",0,3.70,Vintage,Paperback,294,2018,2017,,2022/05/06,"to-read, tr-uncomfy","to-read (#1344), tr-uncomfy (#1)",to-read,,,,0,,,0,,,,,
14800993,Dracula,Bram Stoker,"Stoker, Bram",,"=""0141199334""","=""9780141199337""",0,4.01,Penguin Books,Paperback,445,2012,1897,,2020/02/09,"rec-to-me, ab-current-tbr, currently-reading","rec-to-me (#66), ab-current-tbr (#264), currently-reading (#9)",currently-reading,,,,1,,,0,,,,,
20493713,Good Omens,Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""1473200857""","=""9781473200852""",0,4.25,Gollancz,Hardcover,424,2014,1990,,2022/04/21,"currently-reading, rec-to-me","currently-reading (#8), rec-to-me (#112)",currently-reading,,,,1,,,0,,,,,
56769614,Poison for Breakfast,Lemony Snicket,"Snicket, Lemony",,"=""1324090626""","=""9781324090625""",0,3.89,Liveright,Hardcover,158,2021,2021,2022/05/04,2021/12/29,,,read,,,,1,,,0,,,,,
13299723,"Time Regained (In Search of Lost Time, #7)",Marcel Proust,"Proust, Marcel","Andreas Mayor, Terence Kilmartin, D.J. Enright","=""0375753125""","=""9780375753121""",0,4.50,Modern Library Classics,Paperback,784,1999,1927,,2020/07/20,to-read,to-read (#680),to-read,,,,0,,,0,,,,,
35750,"Sodom and Gomorrah (In Search of Lost Time, #4)",Marcel Proust,"Proust, Marcel","C.K. Scott Moncrieff, Terence Kilmartin, D.J. Enright","=""0375753109""","=""9780375753107""",0,4.34,Modern Library Classics,Paperback,784,1999,1921,,2020/07/20,"to-read, ab-current-tbr","to-read (#682), ab-current-tbr (#576)",to-read,,,,0,,,0,,,,,
18795,"The Guermantes Way (In Search of Lost Time, #3)",Marcel Proust,"Proust, Marcel","C.K. Scott Moncrieff, Terence Kilmartin, D.J. Enright","=""0375752331""","=""9780375752339""",0,4.29,The Modern Library New York,Paperback,834,1998,1920,,2020/07/20,"to-read, ab-current-tbr","to-read (#683), ab-current-tbr (#575)",to-read,,,,0,,,0,,,,,
9484,"Within a Budding Grove (In Search of Lost Time, #2)",Marcel Proust,"Proust, Marcel","C.K. Scott Moncrieff, Terence Kilmartin, D.J. Enright","=""0375752196""","=""9780375752193""",0,4.40,Modern Library,Paperback,749,1998,1913,,2020/07/20,"to-read, ab-current-tbr","to-read (#684), ab-current-tbr (#574)",to-read,,,,0,,,0,,,,,
133539,"Swann’s Way (In Search of Lost Time, #1)",Marcel Proust,"Proust, Marcel","C.K. Scott Moncrieff, Terence Kilmartin, D.J. Enright","=""0375751548""","=""9780375751547""",0,4.13,The Modern Library New York,Paperback,615,1998,1913,,2020/05/21,"to-read, rec-to-me, ab-current-tbr","to-read (#501), rec-to-me (#39), ab-current-tbr (#573)",to-read,,,,0,,,0,,,,,
